song_name,genre,emotion,artist
"Bluesy Ballad","Blues","melancholy","John Smith"
"Classical Serenade","Classical","romantic","Sarah Johnson"
"Country Roads","Country","upbeat","Tom Davis"
"Disco Fever","Disco","empowering","Laura White"
"Hip-Hop Groove","Hip-Hop","upbeat","Mike Brown"
"Jazzy Nights","Jazz","chill","Ella Green"
"Heavy Metal Madness","Metal","empowering","Chris Black"
"Pop Love Song","Pop","romantic","Emily Taylor"
"Reggae Vibes","Reggae","chill","David Wilson"
"Rock Anthem","Rock","upbeat","Jessica Lee"
"Soulful Blues","Blues","melancholy","Robert Johnson"
"Classical Waltz","Classical","romantic","Maria Garcia"
"Country Sunset","Country","chill","Alex Robinson"
"Disco Dance Party","Disco","upbeat","Sophie Davis"
"Rap Revolution","Hip-Hop","empowering","Daniel Miller"
"Smooth Jazz Groove","Jazz","chill","Olivia White"
"Heavy Metal Thunder","Metal","empowering","Michael Johnson"
"Pop Hit Maker","Pop","upbeat","Emma Smith"
"Reggae Relaxation","Reggae","chill","William Brown"
"Rock Legends","Rock","empowering","Sophia Davis"
"Bluesy Soul","Blues","melancholy","John Smith"
"Classical Elegance","Classical","romantic","Sarah Johnson"
"Country Feelings","Country","melancholy","Tom Davis"
"Disco Fever Dream","Disco","empowering","Laura White"
"Hip-Hop Vibes","Hip-Hop","upbeat","Mike Brown"
"Smooth Jazz Serenade","Jazz","romantic","Ella Green"
"Metal Mayhem","Metal","empowering","Chris Black"
"Pop Sensation","Pop","upbeat","Emily Taylor"
"Reggae Rhythms","Reggae","chill","David Wilson"
"Rock & Roll Forever","Rock","upbeat","Jessica Lee"
